Sample_Name,Winner_annotation,Confidence,Number_annotations
I Am Legend (2007).avi_shot_1277_1284..avi.mp4,Static,100.0,2
I Am Legend (2007).avi_shot_1457_1461..avi.mp4,Panoramic,100.0,2
I Am Legend (2007).avi_shot_2593_2604..avi.mp4,Handled,50.0,2
I Am Legend (2007).avi_shot_4814_4831..avi.mp4,None,100.0,2
I Confess.mkv_shot_114_118..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_1229_1233..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_4461_4465..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_4610_4614..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_5348_5351..mkv.mp4,Panoramic,100.0,2
I Confess.mkv_shot_5480_5484..mkv.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_2908_2912..avi.mp4,Panoramic_lateral,100.0,2
I_m Not There (2007).avi_shot_4017_4023..avi.mp4,Car_side_mirror,50.0,2
I_m Not There (2007).avi_shot_4389_4406..avi.mp4,None,100.0,2
I_m Not There (2007).avi_shot_5234_5240..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_5454_5460..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_579_604..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_6179_6188..avi.mp4,None,100.0,2
I_m Not There (2007).avi_shot_6489_6497..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_915_921..avi.mp4,Handled,50.0,2
I_m Still Here (2010).avi_shot_2164_2181..avi.mp4,Handled,100.0,2
I_m Still Here (2010).avi_shot_4087_4091..avi.mp4,Car_front_windshield,50.0,2
I_m Still Here (2010).avi_shot_4819_4828..avi.mp4,Handled,100.0,2
I_m Still Here (2010).avi_shot_5954_5958..avi.mp4,Handled,100.0,2
I_m Still Here (2010).avi_shot_6055_6151..avi.mp4,Handled,50.0,2
In the Mood For Love (Fa yeung nin wa) (2000).mkv_shot_1539_1556..mkv.mp4,Static,100.0,2
In the Mood For Love (Fa yeung nin wa) (2000).mkv_shot_4791_4803..mkv.mp4,Static,100.0,2
Inception (2010).avi_shot_1689_1692..avi.mp4,Static,100.0,2
Inception (2010).avi_shot_1755_1775..avi.mp4,Handled,100.0,2
Inception (2010).avi_shot_1840_1843..avi.mp4,Aerial,50.0,2
Inception (2010).avi_shot_2006_2019..avi.mp4,Handled,100.0,2
Inception (2010).avi_shot_2424_2446..avi.mp4,Travelling_out,100.0,2
Inception (2010).avi_shot_2795_2803..avi.mp4,Tilt,50.0,2
Inception (2010).avi_shot_3190_3202..avi.mp4,None,100.0,2
Inception (2010).avi_shot_4186_4194..avi.mp4,Handled,100.0,2
Inception (2010).avi_shot_4336_4348..avi.mp4,Static,50.0,2
Inception (2010).avi_shot_7137_7152..avi.mp4,None,50.0,2
Inception (2010).avi_shot_819_831..avi.mp4,Static,100.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_1719_1739..mp4.mp4,None,50.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_4843_4846..mp4.mp4,Static,100.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_564_582..mp4.mp4,None,100.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_590_599..mp4.mp4,Travelling_in,50.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_6596_6606..mp4.mp4,Static,100.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_7224_7598..mp4.mp4,None,50.0,2
Inglourious Basterds (2009).mp4_shot_5045_5104..mp4.mp4,None,100.0,2
Inglourious Basterds (2009).mp4_shot_7332_7342..mp4.mp4,Static,50.0,2
Inglourious Basterds (2009).mp4_shot_7574_7595..mp4.mp4,Static,100.0,2
Inglourious Basterds (2009).mp4_shot_8006_8018..mp4.mp4,None,100.0,2
Inglourious Basterds.mp4_shot_288_298..mp4.mp4,None,100.0,2
Inglourious Basterds.mp4_shot_3129_3136..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_3442_3446..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_3530_3537..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_4202_4206..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_5240_5260..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_6251_6254..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_6472_6476..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_8605_8609..mp4.mp4,Static,100.0,2
